TIMESTAMP,UserID,TaskID,ViewingCondition,Task,Difficulty,TaskPhase,TruePositiveCount,TrueNegativeCount,FalsePositiveCount,FalseNegativeCount,Precision,Recall,Accuracy,F1Score,CompletionTime
4530.604,3,60,EXOCENTRIC,seperating,HARD,test,91,94,6,9,0.9381443,0.91,0.925,0.9238579,16.28369
4543.07,3,61,EXOCENTRIC,seperating,MEDIUM,test,94,100,0,6,1,0.94,0.97,0.9690722,12.0166
4549.621,3,62,EXOCENTRIC,seperating,EASY,test,100,100,0,0,1,1,1,1,6.083496
4592.621,3,63,EXOCENTRIC,seperating,HARD,test,95,91,9,5,0.9134616,0.95,0.93,0.9313726,42.5835
4609.287,3,64,EXOCENTRIC,seperating,EASY,test,100,99,1,0,0.990099,1,0.995,0.9950249,16.2002
4622.254,3,65,EXOCENTRIC,seperating,MEDIUM,test,88,100,0,12,1,0.88,0.94,0.9361702,12.5835
4664.754,3,66,EXOCENTRIC,seperating,HARD,test,96,84,16,4,0.8571429,0.96,0.9,0.9056604,34.6333
4683.804,3,67,EXOCENTRIC,seperating,MEDIUM,test,97,94,6,3,0.9417475,0.97,0.955,0.9556651,18.58301
4690.487,3,68,EXOCENTRIC,seperating,MEDIUM,test,99,93,7,1,0.9339623,0.99,0.96,0.961165,6.166992
4706.554,3,69,EXOCENTRIC,seperating,EASY,test,96,100,0,4,1,0.96,0.98,0.9795918,15.5
4719.637,3,70,EXOCENTRIC,seperating,EASY,test,100,100,0,0,1,1,1,1,12.6499
4739.504,3,71,EXOCENTRIC,seperating,HARD,test,89,94,6,11,0.9368421,0.89,0.915,0.9128205,19.4502
4753.104,3,72,EXOCENTRIC,seperating,HARD,test,90,84,16,10,0.8490566,0.9,0.87,0.8737864,13.2334
86.32001,4,1,EXOCENTRIC,seperating,EASY,training,100,25,75,0,0.5714286,1,0.625,0.7272727,29.28334
103.4533,4,2,EXOCENTRIC,seperating,EASY,training,85,16,84,15,0.5029586,0.85,0.505,0.6319702,12.91665
