TIMESTAMP,UserID,TaskID,DistanceToA,ViewingAngleA,DistanceToB,ViewingAngleB,UserPositionX,UserPositionY,UserPositionZ
1583.053,11,24,2.657768,3.035833,0,0,0,0,0
1583.553,11,24,2.67933,4.222713,0,0,0,0,0
1584.053,11,24,2.67933,4.222713,0,0,0,0,0
1584.553,11,24,2.677675,4.145812,0,0,0,0,0
1585.053,11,24,2.677675,4.145812,0,0,0,0,0
1585.553,11,24,2.605659,6.625488,0,0,0,0,0
1586.054,11,24,2.709599,9.144733,0,0,0,0,0
1586.57,11,24,2.80294,10.24763,0,0,0,0,0
1587.07,11,24,2.8173,10.20118,0,0,0,0,0
1587.57,11,24,2.8173,10.20118,0,0,0,0,0
1588.07,11,24,2.8173,10.20118,0,0,0,0,0
1588.57,11,24,2.8173,10.20118,0,0,0,0,0
1589.07,11,24,2.8173,10.20118,0,0,0,0,0
1589.587,11,24,2.8173,10.20118,0,0,0,0,0
1590.087,11,24,3.043932,11.47305,0,0,0,0,0
1590.587,11,24,3.330117,10.70495,0,0,0,0,0
1591.087,11,24,3.330117,10.70495,0,0,0,0,0
1591.587,11,24,3.330117,10.70495,0,0,0,0,0
1592.087,11,24,3.327941,10.68662,0,0,0,0,0
1592.587,11,24,3.483482,9.164268,0,0,0,0,0
1593.104,11,24,3.509643,8.960282,0,0,0,0,0
1593.604,11,24,3.501307,9.129938,0,0,0,0,0
1594.104,11,24,3.501307,9.129938,0,0,0,0,0
1594.604,11,24,3.501307,9.129938,0,0,0,0,0
1595.12,11,24,3.501307,9.129938,0,0,0,0,0
1595.62,11,24,3.501307,9.129938,0,0,0,0,0
1596.12,11,24,3.253896,11.27306,0,0,0,0,0
1596.637,11,24,3.123624,11.61856,0,0,0,0,0
1597.137,11,24,3.123624,11.61856,0,0,0,0,0
1597.637,11,24,3.123624,11.61856,0,0,0,0,0
1598.137,11,24,3.033609,11.26932,0,0,0,0,0
1598.637,11,24,3.037374,11.14005,0,0,0,0,0
1599.137,11,24,3.037374,11.14005,0,0,0,0,0
1599.637,11,24,3.037374,11.14005,0,0,0,0,0
1600.153,11,24,3.037374,11.14005,0,0,0,0,0
1600.654,11,24,2.573413,-3.429711,0,0,0,0,0
1601.154,11,24,2.703746,-8.011949,0,0,0,0,0
1601.654,11,24,2.69906,-8.910062,0,0,0,0,0
1602.17,11,24,2.684076,-9.026913,0,0,0,0,0
1602.67,11,24,2.70413,-8.441665,0,0,0,0,0
1603.17,11,24,2.558847,-2.333388,0,0,0,0,0
1603.67,11,24,2.580539,3.981134,0,0,0,0,0
1604.17,11,24,2.678077,7.792436,0,0,0,0,0
1604.67,11,24,2.663479,8.527537,0,0,0,0,0
1605.17,11,24,2.581989,6.621165,0,0,0,0,0
1605.67,11,24,2.564379,5.988903,0,0,0,0,0
1606.17,11,24,2.564379,5.988903,0,0,0,0,0
1606.67,11,24,2.559666,5.802789,0,0,0,0,0
1607.187,11,24,2.559666,5.802789,0,0,0,0,0
1607.687,11,24,2.559666,5.802789,0,0,0,0,0
1608.187,11,24,2.559666,5.802789,0,0,0,0,0
1608.687,11,24,2.559666,5.802789,0,0,0,0,0
1609.82,11,25,6.42155,1.332367,0,0,0,0,0
1610.32,11,25,6.42155,1.332367,0,0,0,0,0
1610.837,11,25,6.42155,1.332367,0,0,0,0,0
1611.337,11,25,6.42155,1.332367,0,0,0,0,0
1611.837,11,25,6.42155,1.332367,0,0,0,0,0
1612.337,11,25,5.997151,1.426836,0,0,0,0,0
1612.837,11,25,5.24806,1.630989,0,0,0,0,0
1613.337,11,25,4.499435,1.903206,0,0,0,0,0
1613.837,11,25,3.925849,2.182475,0,0,0,0,0
1614.337,11,25,3.925849,2.182475,0,0,0,0,0
1614.837,11,25,3.925849,2.182475,0,0,0,0,0
1615.337,11,25,3.925849,2.182475,0,0,0,0,0
1615.854,11,25,3.925849,2.182475,0,0,0,0,0
1616.354,11,25,3.925849,2.182475,0,0,0,0,0
1616.854,11,25,3.925849,2.182475,0,0,0,0,0
1617.354,11,25,3.925849,2.182475,0,0,0,0,0
1617.854,11,25,3.925849,2.182475,0,0,0,0,0
1618.354,11,25,3.925849,2.182475,0,0,0,0,0
1618.854,11,25,3.925849,2.182475,0,0,0,0,0
1619.354,11,25,3.925849,2.182475,0,0,0,0,0
1619.854,11,25,3.925849,2.182475,0,0,0,0,0
1620.354,11,25,3.925849,2.182475,0,0,0,0,0
1620.854,11,25,3.925849,2.182475,0,0,0,0,0
1621.354,11,25,3.925849,2.182475,0,0,0,0,0
1621.854,11,25,3.945221,2.308086,0,0,0,0,0
1622.37,11,25,3.945221,2.308086,0,0,0,0,0
1622.87,11,25,3.946391,2.314353,0,0,0,0,0
1623.37,11,25,3.946391,2.314353,0,0,0,0,0
1623.87,11,25,3.946391,2.314353,0,0,0,0,0
1624.37,11,25,3.946391,2.314353,0,0,0,0,0
1624.87,11,25,3.848571,0.9238687,0,0,0,0,0
1625.387,11,25,3.836651,0.08846933,0,0,0,0,0
1625.887,11,25,3.836651,0.08846933,0,0,0,0,0
1626.387,11,25,3.836651,0.08846933,0,0,0,0,0
1626.887,11,25,3.836651,0.08846933,0,0,0,0,0
1627.387,11,25,3.836651,0.08846933,0,0,0,0,0
1627.887,11,25,3.836651,0.08846933,0,0,0,0,0
1628.387,11,25,3.836651,0.08846933,0,0,0,0,0
1628.887,11,25,3.836651,0.08846933,0,0,0,0,0
1629.387,11,25,3.836651,0.08846933,0,0,0,0,0
1629.887,11,25,3.837089,0.199792,0,0,0,0,0
1630.387,11,25,3.837089,0.199792,0,0,0,0,0
1630.887,11,25,3.837089,0.199792,0,0,0,0,0
1631.387,11,25,3.837089,0.199792,0,0,0,0,0
1631.887,11,25,3.837089,0.199792,0,0,0,0,0
1632.403,11,25,3.837089,0.199792,0,0,0,0,0
1632.903,11,25,3.837089,0.199792,0,0,0,0,0
1633.404,11,25,3.837089,0.199792,0,0,0,0,0
1633.904,11,25,3.837089,0.199792,0,0,0,0,0
1634.42,11,25,3.702011,0.2719625,0,0,0,0,0
1634.92,11,25,3.725446,0.4297835,0,0,0,0,0
1635.42,11,25,3.725446,0.4297835,0,0,0,0,0
1635.92,11,25,3.725446,0.4297835,0,0,0,0,0
1636.42,11,25,3.725446,0.4297835,0,0,0,0,0
1636.92,11,25,3.725446,0.4297835,0,0,0,0,0
1637.42,11,25,3.725446,0.4297835,0,0,0,0,0
1637.92,11,25,3.725446,0.4297835,0,0,0,0,0
1638.42,11,25,3.725446,0.4297835,0,0,0,0,0
1638.92,11,25,3.725446,0.4297835,0,0,0,0,0
1639.42,11,25,3.725446,0.4297835,0,0,0,0,0
1639.92,11,25,3.725446,0.4297835,0,0,0,0,0
1640.42,11,25,3.725446,0.4297835,0,0,0,0,0
1640.92,11,25,3.725446,0.4297835,0,0,0,0,0
1641.42,11,25,3.725446,0.4297835,0,0,0,0,0
1641.92,11,25,3.725446,0.4297835,0,0,0,0,0
1642.42,11,25,3.725446,0.4297835,0,0,0,0,0
1642.92,11,25,3.736435,0.3951527,0,0,0,0,0
1643.42,11,25,3.786769,1.947926,0,0,0,0,0
